timestamp,rv_ratio,rv_weight,rv_contribution,iv_ratio,iv_weight,iv_contribution,combined_volatility_score,expected_combined_volatility_score,combined_score_error,expected_volatility_width_multiplier,recorded_volatility_width_multiplier,recorded_mode_width_multiplier,expected_mode_width_multiplier,expected_grid_width,expected_grid_width_from_recorded_multipliers,recorded_grid_width,grid_width_error,recorded_grid_width_formula_error,final_width_multiplier,mode,volatility_state,direction_state
2026-08-24T04:00:11.875Z,2.7549066097441943,0.75,2.0661799573081456,0.9993580003851998,0.25,0.24983950009629996,2.3160194574044457,2.3160194574044457,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:16.873Z,2.8002063390673344,0.75,2.100154754300501,0.9993580003851998,0.25,0.24983950009629996,2.349994254396801,2.349994254396801,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:21.870Z,2.80200323518955,0.75,2.1015024263921624,0.9993580003851998,0.25,0.24983950009629996,2.3513419264884625,2.3513419264884625,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:26.870Z,2.664077299888159,0.75,1.9980579749161191,0.9994649430699427,0.25,0.24986623576748568,2.247924210683605,2.247924210683605,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:31.870Z,2.810970615136286,0.75,2.1082279613522146,0.9979239791113775,0.25,0.24948099477784438,2.357708956130059,2.357708956130059,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:36.869Z,2.748344870317721,0.75,2.0612586527382906,0.9979239791113775,0.25,0.24948099477784438,2.310739647516135,2.310739647516135,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:41.869Z,2.8334724808606975,0.75,2.125104360645523,0.9980200986740012,0.25,0.2495050246685003,2.3746093853140233,2.3746093853140233,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:46.870Z,2.8601508467238195,0.75,2.1451131350428647,0.9982017083770418,0.25,0.24955042709426045,2.3946635621371253,2.3946635621371253,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:51.870Z,3.1010015546425485,0.75,2.3257511659819112,0.998244524844255,0.25,0.24956113121106374,2.575312297192975,2.575312297192975,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
2026-08-24T04:00:56.871Z,3.107895413306351,0.75,2.330921559979763,0.9982873413114683,0.25,0.2495718353278671,2.58049339530763,2.58049339530763,0.0,2.0,2.0,1.5,1.5,0.03,0.03,0.03,0.0,0.0,3.0,defensive,high,neutral
